codelist_name,concept_id,concept_name,standard_concept
antepartum_haemorrhage,4228479,Accidental antepartum hemorrhage,NA
antepartum_haemorrhage,434089,Antepartum hemorrhage,NA
antepartum_haemorrhage,438489,Antepartum hemorrhage associated with coagulation defect,NA
antepartum_haemorrhage,45757208,Antepartum hemorrhage due to disseminated intravascular coagulation,NA
antepartum_haemorrhage,44784542,Antepartum hemorrhage due to placenta previa type I,NA
antepartum_haemorrhage,44784543,Antepartum hemorrhage due to placenta previa type II,NA
antepartum_haemorrhage,44784544,Antepartum hemorrhage due to placenta previa type III,NA
antepartum_haemorrhage,44784545,Antepartum hemorrhage due to placenta previa type IV,NA
antepartum_haemorrhage,4129032,Antepartum hemorrhage with afibrinogenemia,NA
antepartum_haemorrhage,443133,Antepartum hemorrhage with coagulation defect - delivered,NA
antepartum_haemorrhage,438203,Antepartum hemorrhage with coagulation defect - not delivered,NA
antepartum_haemorrhage,4129031,Antepartum hemorrhage with hyperfibrinolysis,NA
antepartum_haemorrhage,4034091,Antepartum hemorrhage with hypofibrinogenemia,NA
antepartum_haemorrhage,4143074,"Antepartum hemorrhage, abruptio placentae and placenta previa",NA
antepartum_haemorrhage,3404588,ConcealedÂ accidentalÂ hemorrhage,NA
antepartum_haemorrhage,193535,Fetal-maternal hemorrhage - delivered,NA
antepartum_haemorrhage,196757,Fetal-maternal hemorrhage with antenatal problem,NA
antepartum_haemorrhage,3657563,First trimester bleeding,NA
antepartum_haemorrhage,435323,"Hemorrhage in early pregnancy, delivered",NA
antepartum_haemorrhage,4025198,Hemorrhagic complication of pregnancy,NA
antepartum_haemorrhage,4129827,Indeterminate antepartum hemorrhage,NA
antepartum_haemorrhage,193264,Placenta previa with hemorrhage - delivered,NA
antepartum_haemorrhage,200149,Placenta previa with hemorrhage - not delivered,NA
antepartum_haemorrhage,4327745,SecondÂ trimesterÂ bleeding,NA
antepartum_haemorrhage,4142581,ThirdÂ trimesterÂ bleeding,NA
antepartum_haemorrhage,37109810,Vaginal bleeding complicating early pregnancy,NA
antepartum_haemorrhage,196751,Placenta previa with hemorrhage,NA
dysfunctional_labour,42536563,Obstructed labor due to shoulder dystocia,NA
dysfunctional_labour,72377,Shoulder girdle dystocia,NA
dysfunctional_labour,75608,Shoulder dystocia with antenatal problem,NA
dysfunctional_labour,80474,Shoulder dystocia - delivered,NA
dysfunctional_labour,4025199,Pelvic dystocia AND/OR uterine disorder,NA
dysfunctional_labour,4034148,Cervical dystocia,NA
dysfunctional_labour,4194811,Retraction ring dystocia,NA
dysfunctional_labour,4197085,Maternal dystocia,NA
dysfunctional_labour,4216551,Fetal dystocia,NA
dysfunctional_labour,4268171,Contraction ring dystocia,NA
dysfunctional_labour,4034147,Failure to progress in labor,NA
dysfunctional_labour,4091673,Failure to progress in second stage of labor,NA
dysfunctional_labour,4129838,Failure to progress in first stage of labor,NA
dysfunctional_labour,37110285,Intrapartum hemorrhage co-occurrent and due to obstructed labor with uterine rupture,NA
dysfunctional_labour,37110289,Postpartum hemorrhage co-occurrent and due to uterine rupture following obstructed labor,NA
dysfunctional_labour,37116435,Sepsis following obstructed labor,NA
dysfunctional_labour,37119134,Vesicovaginal fistula with involvement of urinary continence mechanism due to and following obstructed labor,NA
dysfunctional_labour,37310898,Obstructed labor due to deep transverse arrest and persistent occipitoposterior position,NA
dysfunctional_labour,37396169,Obstructed labor due to fetal abnormality,NA
dysfunctional_labour,45757117,Obstructed labor due to disproportion between fetus and pelvis,NA
dysfunctional_labour,45772074,Obstructed labor due to incomplete rotation of fetal head,NA
dysfunctional_labour,46269810,Obstructed labor due to abnormality of maternal pelvis,NA
dysfunctional_labour,192694,Obstructed labor caused by pelvic soft tissues,NA
dysfunctional_labour,193273,Obstructed labor caused by bony pelvis with antenatal problem,NA
dysfunctional_labour,193827,Obstructed labor,NA
dysfunctional_labour,193831,Obstructed labor due to fetal malposition with antenatal problem,NA
dysfunctional_labour,194100,Obstructed labor due to fetal malposition,NA
dysfunctional_labour,194711,Obstructed labor due to fetal malposition - delivered,NA
dysfunctional_labour,196182,Obstructed labor caused by pelvic soft tissues - delivered,NA
dysfunctional_labour,197051,Obstructed labor caused by bony pelvis,NA
dysfunctional_labour,199087,Obstructed labor caused by bony pelvis - delivered,NA
dysfunctional_labour,442440,Obstructed labor caused by pelvic soft tissues with antenatal problem,NA
dysfunctional_labour,4060036,Obstructed labor due to breech presentation,NA
dysfunctional_labour,4060037,Obstructed labor due to brow presentation,NA
dysfunctional_labour,4060038,Obstructed labor due to shoulder presentation,NA
dysfunctional_labour,4060039,Obstructed labor due to generally contracted pelvis,NA
dysfunctional_labour,4061850,Obstructed labor due to face presentation,NA
dysfunctional_labour,4061852,Obstructed labor due to abnormality of maternal pelvic organs,NA
dysfunctional_labour,4064423,Obstructed labor due to pelvic inlet contraction,NA
dysfunctional_labour,4064424,Obstructed labor due to pelvic outlet and mid-cavity contraction,NA
dysfunctional_labour,4064437,Obstructed labor due to unusually large fetus,NA
dysfunctional_labour,4064819,Obstructed labor due to compound presentation,NA
dysfunctional_labour,4064821,Obstructed labor due to deformed pelvis,NA
dysfunctional_labour,443435,Primary uterine inertia,NA
dysfunctional_labour,73265,Deep transverse arrest with antenatal problem,NA
dysfunctional_labour,75882,Deep transverse arrest - delivered,NA
dysfunctional_labour,76487,Deep transverse arrest,NA
dysfunctional_labour,192384,Secondary uterine inertia - delivered,NA
dysfunctional_labour,192698,Hypertonic uterine dysfunction,NA
dysfunctional_labour,192974,Secondary uterine inertia,NA
dysfunctional_labour,196759,Primary uterine inertia with antenatal problem,NA
dysfunctional_labour,196762,Primary uterine inertia - delivered,NA
dysfunctional_labour,197346,Secondary uterine inertia with antenatal problem,NA
dysfunctional_labour,197938,Uterine inertia,NA
dysfunctional_labour,434431,Prolonged second stage - delivered,NA
dysfunctional_labour,434435,Prolonged first stage with antenatal problem,NA
dysfunctional_labour,434714,Prolonged second stage of labor,NA
dysfunctional_labour,437620,Prolonged second stage with antenatal problem,NA
dysfunctional_labour,438213,"Delayed delivery of second twin, triplet etc",NA
dysfunctional_labour,440167,Prolonged labor,NA
dysfunctional_labour,440475,Prolonged first stage - delivered,NA
dysfunctional_labour,441361,Delayed delivery after artificial rupture of membranes,NA
dysfunctional_labour,441362,Prolonged first stage of labor,NA
dysfunctional_labour,442617,Obstruction by abnormal pelvic soft tissues,NA
dysfunctional_labour,443244,Hypertonic uterine inertia,NA
dysfunctional_labour,443706,Dyscoordinate labor,NA
dysfunctional_labour,444404,Obstruction caused by position of fetus at onset of labor,NA
dysfunctional_labour,4053158,"Uterine incoordination, first degree",NA
dysfunctional_labour,4064559,Delayed delivery second twin - delivered,NA
dysfunctional_labour,4064560,Delayed delivery second twin with antenatal problem,NA
dysfunctional_labour,4064834,Hypertonic uterine inertia - delivered,NA
dysfunctional_labour,4064835,Hypertonic uterine inertia with antenatal problem,NA
dysfunctional_labour,4080668,Arrested active phase of labor,NA
dysfunctional_labour,4129044,Delayed delivery of triplet,NA
dysfunctional_labour,4129045,Head entrapment during breech delivery,NA
dysfunctional_labour,4170458,Delayed delivery of second twin,NA
dysfunctional_labour,4174056,Slow slope active phase of labor,NA
dysfunctional_labour,4184274,Irregular uterine contractions,NA
dysfunctional_labour,4193756,Desultory labor,NA
dysfunctional_labour,4300387,Primary hypotonic uterine dysfunction,NA
dysfunctional_labour,4300773,Obstruction by bony pelvis,NA
dysfunctional_labour,4308657,Hypotonic uterine inertia,NA
dysfunctional_labour,4308660,Prolonged latent phase of labor,NA
dysfunctional_labour,4319561,Delayed delivery of second of multiple births,NA
dysfunctional_labour,37017049,Prolonged second stage of labor due to poor maternal effort,NA
dysfunctional_labour,37311825,Inefficient uterine activity with oxytocin augmentation,NA
dysfunctional_labour,44784536,Deep transverse arrest with persistent occipitoposterior position,NA
dysfunctional_labour,72700,Locked twins with antenatal problem,NA
dysfunctional_labour,442422,Locked twins - delivered,NA
dysfunctional_labour,444386,Interlocked twins,NA
dysfunctional_labour,437342,Abnormality of forces of labor,NA
eclampsia,4116344,EclampsiaÂ inÂ puerperium,NA
eclampsia,443700,Eclampsia,NA
eclampsia,133816,EclampsiaÂ -Â delivered,NA
eclampsia,4062550,Pre-eclampsiaÂ orÂ eclampsiaÂ withÂ pre-existingÂ hypertensionÂ withÂ postnatalÂ complication,NA
eclampsia,134414,Pre-eclampsiaÂ orÂ eclampsiaÂ withÂ pre-existingÂ hypertensionÂ -Â deliveredÂ withÂ postnatalÂ complication,NA
eclampsia,42537548,NephropathyÂ followingÂ eclampsia,NA
eclampsia,4058536,EclampsiaÂ withÂ postnatalÂ complication,NA
eclampsia,4289142,EclampsiaÂ addedÂ toÂ pre-existingÂ hypertension,NA
eclampsia,138811,EclampsiaÂ -Â deliveredÂ withÂ postnatalÂ complication,NA
eclampsia,137613,EclampsiaÂ inÂ pregnancy,NA
eclampsia,4034096,EclampsiaÂ inÂ labor,NA
eclampsia,45757119,EclampsiaÂ withÂ pre-existingÂ hypertensionÂ inÂ childbirth,NA
eclampsia,135601,Pre-eclampsiaÂ orÂ eclampsiaÂ withÂ pre-existingÂ hypertensionÂ -Â delivered,NA
eclampsia,136743,Pre-eclampsiaÂ orÂ eclampsiaÂ withÂ pre-existingÂ hypertensionÂ -Â notÂ delivered,NA
ectopic_pregnancy,37203955,Intramural ectopic pregnancy of myometrium,NA
ectopic_pregnancy,37209653,Ectopic pregnancy of left ovary,NA
ectopic_pregnancy,37209654,Ectopic pregnancy of right ovary,NA
ectopic_pregnancy,42536560,Pelvic infection due to and following ectopic pregnancy,NA
ectopic_pregnancy,42536561,Genital tract infection due to and following ectopic pregnancy,NA
ectopic_pregnancy,42537762,Delayed hemorrhage due to and following ectopic pregnancy,NA
ectopic_pregnancy,42537763,Excessive hemorrhage due to and following ectopic pregnancy,NA
ectopic_pregnancy,42537767,Damage to pelvic organs and tissues following ectopic pregnancy,NA
